geo,time,hpi
Spain,2023-Q1,143.98
Spain,2023-Q2,146.97
Spain,2023-Q3,150.68
Spain,2023-Q4,149.13
Spain,2024-Q1,153.18
Spain,2024-Q2,158.63
Spain,2024-Q3,163.12
Spain,2024-Q4,166.07
Spain,2025-Q1,172.0
Spain,2025-Q2,178.89
Spain,2025-Q3,184.06
Finland,2015-Q1,99.49
Finland,2015-Q2,100.43
Finland,2015-Q3,100.28
Finland,2015-Q4,99.8
Finland,2016-Q1,100.52
Finland,2016-Q2,101.61
Finland,2016-Q3,101.93
Finland,2016-Q4,101.08
Finland,2017-Q1,101.7
Finland,2017-Q2,103.22
Finland,2017-Q3,102.51
Finland,2017-Q4,102.12
Finland,2018-Q1,102.74
Finland,2018-Q2,103.96
Finland,2018-Q3,103.49
Finland,2018-Q4,103.15
Finland,2019-Q1,103.09
Finland,2019-Q2,104.68
Finland,2019-Q3,104.02
Finland,2019-Q4,103.29
Finland,2020-Q1,104.28
Finland,2020-Q2,105.36
Finland,2020-Q3,105.79
Finland,2020-Q4,106.95
Finland,2021-Q1,108.58
Finland,2021-Q2,111.19
Finland,2021-Q3,110.93
Finland,2021-Q4,111.12
Finland,2022-Q1,111.85
Finland,2022-Q2,113.46
Finland,2022-Q3,112.24
Finland,2022-Q4,108.51
Finland,2023-Q1,105.75
Finland,2023-Q2,106.58
Finland,2023-Q3,103.51
Finland,2023-Q4,102.48
Finland,2024-Q1,101.5
Finland,2024-Q2,101.85
Finland,2024-Q3,101.45
Finland,2024-Q4,100.59
Finland,2025-Q1,99.56
Finland,2025-Q2,100.5
Finland,2025-Q3,98.28
France,2015-Q1,99.38
France,2015-Q2,99.55
France,2015-Q3,100.92
France,2015-Q4,100.15
France,2016-Q1,99.73
France,2016-Q2,100.24
France,2016-Q3,102.36
France,2016-Q4,101.84
France,2017-Q1,102.53
France,2017-Q2,103.53
France,2017-Q3,105.65
France,2017-Q4,105.24
France,2018-Q1,105.51
France,2018-Q2,106.42
France,2018-Q3,108.65
France,2018-Q4,108.58
France,2019-Q1,108.55
France,2019-Q2,109.85
France,2019-Q3,112.33
France,2019-Q4,112.69
France,2020-Q1,113.87
France,2020-Q2,115.52
France,2020-Q3,117.8
France,2020-Q4,119.27
France,2021-Q1,120.15
